ANY,ACTIVITAT,IPCC_SECTOR,IPCC_DIVISIO,IPCC_CLASSE,IPCC_SUBCLASSE,NOM_SECTOR,NOM_DIVISIO,NOM_CLASSE,NOM_SUBCLASSE,CONTAMINANT,UNITATS,CO2EQ,EMISSIO GAS
2007,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,2093.89,2093.89
2007,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.75,0.06
2007,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.6,0.01
2008,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,2020.71,2020.71
2008,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.36,0.01
2008,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.63,0.06
2009,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.25,0.01
2009,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.56,0.06
2009,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1955.19,1955.19
2010,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1919.52,1919.52
2010,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.13,0.01
2010,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.48,0.05
2011,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.44,0.05
2011,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.02,0.01
2011,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1876.91,1876.91
2012,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.25,0.04
2012,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1850.42,1850.42
2012,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,1.63,0.01
2013,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1574.5,1574.5
2013,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,0.9,0.03
2013,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,1.01,0
2014,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,0.76,0
2014,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,0.76,0.03
2014,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1435.63,1435.63
2015,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,0.8,0.03
